EWS ID,ProjectNumber,Published,Bank Risk Rating,Project Status,EWS URL,Detailed Analysis URL,Project Name,City,Country Count,Country 1,Country 2,Country 3,Country 4,Country 5,Country 6,Country 7,Country 8,Country 9,Country 10,Country 11,Country 12,Private Actor Count,Private Actor 1,Private Actor 2,Private Actor 3,Private Actor 4,Private Actor 5,Private Actor 6,Private Actor 7,Private Actor 8,Private Actor 9,Private Actor 10,Private Actor 11,Private Actor 12,Private Actor 13,Private Actor 14,Private Actor 15,Bank Count,Bank 1,Bank 2,Bank 3,Bank 4,Bank 5,Sector Count,Sector 1,Sector 2,Sector 3,Sector 4,Sector 5,Sector 6,Sector 7,Last Edited,Date Scraped,Date Disclosed,Board Date,Source URL,Project Cost,Investment Amount,Partners Contacted,Partners Responded,Communities Informed,Community Response,People Trained,Information Requested,Analysis URL,Lead Person Count,Lead Person 1,Lead Person 2,Lead Person 3,Lead Person 4,Lead Person 5,Lead Person 6,Lead Person 7
28203,ADB-48028-001,Published,U,Canceled,https://ews.rightsindevelopment.org/projects/48028-001-policy-advice-on-promoting-the-circular-economy-in/,,Policy Advice on Promoting the Circular Economy in Qinghai Province,Qinghai province,1,China,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,1,Industry and Trade,,,,,,,10/19/17,7/6/17,3/17/17,12/18/14,https://www.adb.org/projects/48028-001/main,,0.35,No,No,No,No,0,No,,1,Tom Weerachat,,,,,,
28193,ADB-48102-001,Published,U,Canceled,https://ews.rightsindevelopment.org/projects/48102-001-qinghai-haidong-urban-rural-eco-development-projec/,,Qinghai Haidong Urban-Rural Eco Development Project,Haidong,1,China,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,1,Agriculture and Forestry,,,,,,,10/16/17,7/6/17,3/24/17,12/19/14,https://www.adb.org/projects/48102-001/main,,0.75,No,No,No,No,0,No,,1,Tom Weerachat,,,,,,
28194,ADB-48060-001,Published,U,Canceled,https://ews.rightsindevelopment.org/projects/48060-001-country-water-security-assessment/,,Country Water Security Assessment,,1,Mongolia,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,1,Agriculture and Forestry,,,,,,,10/19/17,7/6/17,3/16/17,12/19/14,https://www.adb.org/projects/48060-001/main,,0.5,No,No,No,No,0,No,,1,Tom Weerachat,,,,,,
28195,ADB-48172-001,Published,B,Approved,https://ews.rightsindevelopment.org/projects/48172-001-strengthening-knowledge-sharing-in-indonesia/,,Strengthening Knowledge Sharing in Indonesia,,1,Indonesia,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,1,Law and Government,,,,,,,10/26/17,7/6/17,9/30/16,12/19/14,https://www.adb.org/projects/48172-001/main,,1.74,No,No,No,No,0,No,,1,Tom Weerachat,,,,,,
28196,ADB-48274-001,Published,B,Canceled,https://ews.rightsindevelopment.org/projects/48274-001-shanxi-urban-rural-water-source-protection-and-env/,,Shanxi Urban-Rural Water Source Protection and Environmental Demonstration,Zuquan County,1,China,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,1,Agriculture and Forestry,,,,,,,10/14/17,7/6/17,3/29/17,12/19/14,https://www.adb.org/projects/48274-001/main,,0.85,No,No,No,No,0,No,,1,Tom Weerachat,,,,,,
28197,ADB-48186-001,Published,B,Approved,https://ews.rightsindevelopment.org/projects/48186-001-regional-road-development-and-maintenance-project/,,Regional Road Development and Maintenance Project,,1,Mongolia,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,1,Transport,,,,,,,11/20/17,7/6/17,9/28/16,12/19/14,https://www.adb.org/projects/48186-001/main,,1,No,No,No,No,0,No,,1,Tom Weerachat,,,,,,
28187,ADB-48420-001,Published,U,Canceled,https://ews.rightsindevelopment.org/projects/48420-001-green-finance-reform/,,Green Finance Reform,,1,China,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,1,Finance,,,,,,,11/4/17,7/6/17,3/31/16,12/23/14,https://www.adb.org/projects/48420-001/main,,0.23,No,No,No,No,0,No,,1,Tom Weerachat,,,,,,
28188,ADB-48377-001,Published,U,Canceled,https://ews.rightsindevelopment.org/projects/48377-001-financing-public-private-partnerships/,,Financing Public-Private Partnerships,,1,China,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,1,Law and Government,,,,,,,10/19/17,7/6/17,3/28/17,12/23/14,https://www.adb.org/projects/48377-001/main,,0.4,No,No,No,No,0,No,,1,Tom Weerachat,,,,,,
28184,ADB-48116-001,Published,A,Approved,https://ews.rightsindevelopment.org/projects/48116-001-sustainable-and-climate-resilient-land-management/,,Sustainable and Climate-Resilient Land Management in the Western Regions,Western PRC,1,China,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,2,Agriculture and Forestry,Climate and Environment,,,,,,10/5/17,7/6/17,3/27/17,1/9/15,https://www.adb.org/projects/48116-001/main,8.4,5.25,No,No,No,No,0,No,,1,Tom Weerachat,,,,,,
28183,ADB-48061-002,Published,U,Approved,https://ews.rightsindevelopment.org/projects/48061-002-sustainable-forest-management-to-improve-livelihoo/,,Sustainable Forest Management to Improve Livelihood of Local Communities,,1,Mongolia,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,1,Agriculture and Forestry,,,,,,,10/18/17,7/6/17,3/17/17,1/13/15,https://www.adb.org/projects/48061-002/main,,2,No,No,No,No,0,No,,1,Tom Weerachat,,,,,,
